dataset,class,is_target,model,simple_gap,fr
cifar100,75,0,retrain,0.05500000000000005,0.938
cifar100,76,0,original,0.04499999999999993,0.0
cifar100,76,0,unlearned,0.04499999999999993,0.008000000000000007
cifar100,76,0,retrain,0.0,0.982
cifar100,77,0,original,0.15000000000000002,0.0
cifar100,77,0,unlearned,0.17000000000000015,0.0020000000000000018
cifar100,77,0,retrain,0.019999999999999907,0.858
cifar100,78,0,original,0.17500000000000004,0.008000000000000007
cifar100,78,0,unlearned,0.19000000000000006,0.008000000000000007
cifar100,78,0,retrain,0.05499999999999994,0.986
cifar100,79,0,original,0.08499999999999996,0.008000000000000007
cifar100,79,0,unlearned,0.08499999999999996,0.0040000000000000036
cifar100,79,0,retrain,0.010000000000000009,0.998
cifar100,80,0,original,0.16500000000000004,0.0
cifar100,80,0,unlearned,0.17999999999999994,0.0
cifar100,80,0,retrain,0.020000000000000018,0.972
cifar100,81,0,original,0.11499999999999999,0.0040000000000000036
cifar100,81,0,unlearned,0.135,0.02400000000000002
cifar100,81,0,retrain,0.04500000000000004,1.0
cifar100,82,0,original,0.06499999999999995,0.0
cifar100,82,0,unlearned,0.05499999999999994,0.0
cifar100,82,0,retrain,0.04999999999999993,0.612
cifar100,83,0,original,0.16500000000000004,0.008000000000000007
cifar100,83,0,unlearned,0.17000000000000004,0.006000000000000005
cifar100,83,0,retrain,0.09499999999999997,0.998
cifar100,84,0,original,0.135,0.0
cifar100,84,0,unlearned,0.135,0.0020000000000000018
cifar100,84,0,retrain,0.07000000000000006,0.954
cifar100,85,0,original,0.08499999999999996,0.0
cifar100,85,0,unlearned,0.07999999999999996,0.0
cifar100,85,0,retrain,0.1100000000000001,0.882
cifar100,86,0,original,0.07999999999999996,0.0020000000000000018
cifar100,86,0,unlearned,0.07999999999999996,0.008000000000000007
cifar100,86,0,retrain,0.07499999999999996,0.978
cifar100,87,0,original,0.08500000000000008,0.01200000000000001
cifar100,87,0,unlearned,0.09499999999999997,0.018000000000000016
cifar100,87,0,retrain,0.07499999999999996,1.0
cifar100,88,0,original,0.09999999999999998,0.0020000000000000018
cifar100,88,0,unlearned,0.09999999999999998,0.0020000000000000018
cifar100,88,0,retrain,0.050000000000000044,0.9
cifar100,89,0,original,0.09499999999999997,0.008000000000000007
cifar100,89,0,unlearned,0.09499999999999997,0.028000000000000025
cifar100,89,0,retrain,0.020000000000000018,0.942
cifar100,90,0,original,0.07499999999999996,0.0040000000000000036
cifar100,90,0,unlearned,0.08499999999999996,0.010000000000000009
cifar100,90,0,retrain,0.03499999999999992,0.884
cifar100,91,0,original,0.05499999999999994,0.0
cifar100,91,0,unlearned,0.04999999999999993,0.0
cifar100,91,0,retrain,0.07500000000000001,0.976
cifar100,92,0,original,0.1399999999999999,0.006000000000000005
cifar100,92,0,unlearned,0.13,0.006000000000000005
cifar100,92,0,retrain,0.06000000000000005,1.0
cifar100,93,0,original,0.1100000000000001,0.0
cifar100,93,0,unlearned,0.15500000000000003,0.0
cifar100,93,0,retrain,0.050000000000000044,0.738
cifar100,94,0,original,0.050000000000000044,0.006000000000000005
cifar100,94,0,unlearned,0.050000000000000044,0.006000000000000005
cifar100,94,0,retrain,0.04500000000000004,0.974
cifar100,95,0,original,0.12,0.01200000000000001
cifar100,95,0,unlearned,0.11999999999999988,0.0040000000000000036
cifar100,95,0,retrain,0.010000000000000009,0.996
